train_loss,valid_accuracy
0.08529715704075484,0.8904382470119522
0.0644258868167967,0.8904382470119522
0.06286254590094993,0.8904382470119522
0.06093511127365866,0.8904382470119522
0.05953969807843819,0.8904382470119522
0.05797924599557353,0.8894422310756972
0.055723887471355156,0.8854581673306773
0.05415308828179894,0.8914342629482072
0.05194797057298605,0.898406374501992
0.05168281595935255,0.9033864541832669
0.04822184337535873,0.9063745019920318
0.04816687380926768,0.897410358565737
0.0450014379519306,0.9083665338645418
0.04402637622534354,0.9193227091633466
0.04214306586690134,0.9123505976095617
0.04101034280822866,0.9223107569721115
0.03819565378150649,0.9193227091633466
0.036185848392602624,0.9233067729083665
0.03515199349953257,0.9262948207171314
0.032800812549381095,0.9153386454183267
0.0360899181607899,0.9252988047808764
0.031599931289251385,0.9233067729083665
0.031036623222241884,0.9223107569721115
0.02823569132350244,0.9312749003984063
0.027262524367401827,0.9262948207171314
0.03662542763578875,0.9352589641434262
0.027097400180840243,0.9282868525896414
0.025850351559876635,0.9233067729083665
0.024635659234869916,0.9233067729083665
0.022353381522186806,0.9163346613545816
0.021939952772244753,0.9252988047808764
0.02028175111539013,0.9312749003984063
0.021230312297561657,0.9372509960159362
0.020777473364212325,0.9332669322709163
0.020270516473718806,0.9352589641434262
0.017660503295535982,0.9302788844621513
0.016301735207283247,0.9292828685258964
0.015961931608740775,0.9223107569721115
0.02362121614538465,0.9163346613545816
0.01639491105125864,0.9352589641434262
0.014449214886884543,0.9183266932270916
0.012799644406627383,0.9362549800796812
0.012876154944410011,0.9352589641434262
0.011804547811731358,0.9342629482071713
0.009137515695659782,0.9382470119521913
0.012848649044992106,0.9322709163346613
0.008893032455296523,0.9312749003984063
0.007577897263796662,0.9332669322709163
0.005932297457933821,0.9342629482071713
0.004784565461732475,0.9382470119521913
